month,internal_sku,product_name,product_type,gross_qty,realized_qty,seller_base_revenue_rub,product_cogs_rub,cogs_status,commission_rub,commission_status,direct_variable_marketplace_costs_rub,other_direct_marketplace_costs_rub,contribution_before_ads_rub,ad_spend_attributed_rub,contribution_after_attributed_ads_rub,margin_before_ads_pct,margin_after_ads_pct,actual_drr_pct,variable_break_even_drr_pct,profitability_status,attribution_level
2025-06-01,EVT-SET-HAND-BODY,"EVETIS Набор крем для рук + крем для тела",BUNDLE,15,15,15071,6591.45,COVERED,3814.32,COVERED,1050.68,0,3614.55,0,3614.55,23.9835,23.9835,0,23.9835,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-07-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,19,17,10327,2856,COVERED,2839.94,COVERED,1057.08,0,3573.98,4436.4,-862.42,34.6081,-8.3511,42.9592,34.6081,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-07-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,13,13,8533,2105.09,COVERED,2346.62,COVERED,739.5,0,3341.79,5539.69,-2197.9,39.1631,-25.7576,64.9208,39.1631,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-07-01,EVT-HC-BODY-300,"EVETIS Body Cream Oud Wood 300 ml",SINGLE,25,22,11811,4577.1,COVERED,3248.07,COVERED,1484.41,0,2501.42,6995.47,-4494.05,21.1787,-38.0497,59.2284,21.1787,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-07-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,11,11,7046,2545.18,COVERED,1937.65,COVERED,615.91,0,1947.26,3425.26,-1478,27.6364,-20.9764,48.6128,27.6364,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-07-01,EVT-SET-HAND-BODY,"EVETIS Набор крем для рук + крем для тела",BUNDLE,22,21,18588,9228.03,COVERED,5111.7,COVERED,1587.98,0,2660.29,0,2660.29,14.3119,14.3119,0,14.3119,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-08-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,19,18,10930,3024,COVERED,3005.76,COVERED,1094.07,75,3731.17,4524.08,-792.91,34.137,-7.2544,41.3914,34.137,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-08-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,25,23,14909,3724.39,COVERED,4099.98,COVERED,1565.99,0,5518.64,4814.89,703.75,37.0155,4.7203,32.2952,37.0155,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-08-01,EVT-HC-BODY-300,"EVETIS Body Cream Oud Wood 300 ml",SINGLE,28,25,13976,5201.25,COVERED,3843.44,COVERED,1562.7,0,3368.61,5476.55,-2107.94,24.1028,-15.0826,39.1854,24.1028,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-08-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,51,49,31079,11337.62,COVERED,8568.74,COVERED,2906.24,0,8266.4,5508.38,2758.02,26.598,8.8742,17.7238,26.598,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-08-01,EVT-SET-HAND-BODY,"EVETIS Набор крем для рук + крем для тела",BUNDLE,27,26,24204,11425.18,COVERED,6656.11,COVERED,1895.27,0,4227.44,0,4227.44,17.4659,17.4659,0,17.4659,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-09-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,8,6,4212,1008,COVERED,1177.55,COVERED,439.63,0,1586.82,6682.99,-5096.17,37.6738,-120.9917,158.6655,37.6738,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-09-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,31,27,19285,4372.11,COVERED,5422.51,COVERED,1912.06,0,7578.32,7399.06,179.26,39.2964,0.9295,38.3669,39.2964,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-09-01,EVT-HC-BODY-300,"EVETIS Body Cream Oud Wood 300 ml",SINGLE,23,21,14342,4369.05,COVERED,4044.1,COVERED,1337.62,0,4591.23,6212.09,-1620.86,32.0125,-11.3015,43.314,32.0125,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-09-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,36,33,22934,7635.54,COVERED,6405.94,COVERED,2211.35,0,6681.17,7296.04,-614.87,29.1322,-2.681,31.8132,29.1322,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-09-01,EVT-SET-HAND-BODY,"EVETIS Набор крем для рук + крем для тела",BUNDLE,21,20,20164,8788.6,COVERED,5610.1,COVERED,1522.49,0,4242.81,2423.37,1819.44,21.0415,9.0232,12.0183,21.0415,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-10-01,EVT-FC-ACNE-50,"EVETIS Anti-Acne Face Cream 50 ml",SINGLE,0,0,0,0,COVERED,0,COVERED,0,0,0,0,0,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-10-01,EVT-FC-MOIST-50,"EVETIS Moisture Face Cream 50 ml",SINGLE,1,0,0,0,COVERED,0,COVERED,107,0,-107,0,-107,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-10-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,9,8,5701,1344,COVERED,1734.74,COVERED,460.88,0,2161.38,1818.83,342.55,37.9123,6.0086,31.9037,37.9123,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-10-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,21,20,15474,3238.6,COVERED,4767.64,COVERED,1220.34,0,6247.42,4518.36,1729.06,40.3737,11.174,29.1997,40.3737,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-10-01,EVT-HC-BODY-300,"EVETIS Body Cream Oud Wood 300 ml",SINGLE,16,14,10800,2912.7,COVERED,3240,COVERED,914.1,104.6,3628.6,3096.3,532.3,33.5981,4.9287,28.6694,33.5981,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-10-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,44,39,28167,9023.82,COVERED,8797.3,COVERED,2505.29,0,7840.59,8237.38,-396.79,27.8361,-1.4087,29.2448,27.8361,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-10-01,EVT-SET-HAND-BODY,"EVETIS Набор крем для рук + крем для тела",BUNDLE,11,9,10560,3954.87,COVERED,3168,COVERED,831.11,0,2606.02,1168.44,1437.58,24.6782,13.6134,11.0648,24.6782,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
