finance_event_date,posting_number,ozon_sku,internal_sku,buyer_paid_price_rub,seller_base_price_rub,ozon_bonus_rub,ozon_coinvestment_rub,observed_buyer_discount_rub,observed_buyer_discount_pct,invariant_check_rub,spp_semantics
2026-07-20,34484499-0410-1,1997079254,EVT-HC-HAND-300,217.89,586.0,365.93,2.18,368.11,62.82,0.0,NOT_PROVEN
2026-07-20,0124422399-0338-1,1997079254,EVT-HC-HAND-300,304.25,586.0,278.71,3.04,281.75,48.08,0.0,NOT_PROVEN
2026-07-20,26617500-0814-1,3530427102,EVT-FT-ACNE-150,399.81,1109.0,705.19,4.0,709.19,63.95,0.0,NOT_PROVEN
2026-07-21,0152034345-0506-1,3543342130,EVT-EP-ENZYME-75,392.38,1123.0,726.7,3.92,730.62,65.06,0.0,NOT_PROVEN
2026-07-21,0152034345-0507-1,2974977988,EVT-FC-ACNE-50,352.38,1021.0,665.1,3.52,668.62,65.49,0.0,NOT_PROVEN
2026-07-22,0163752488-0152-1,1997079254,EVT-HC-HAND-300,318.1,928.0,606.72,3.18,609.9,65.72,0.0,NOT_PROVEN
2026-07-22,0221180046-0084-1,1991772098,EVT-FS-MOIST-30,300.95,845.0,541.04,3.01,544.05,64.38,0.0,NOT_PROVEN
2026-07-22,0208882878-0247-1,3733947454,EVT-SET-ACNE-POWDER-SERUM-CREAM,639.05,1586.0,940.56,6.39,946.95,59.71,0.0,NOT_PROVEN
2026-07-23,49551554-1311-1,3892223191,EVT-SET-CHERRY-AMBER,1018.1,1530.0,511.9,0.0,511.9,33.46,0.0,NOT_PROVEN
2026-07-23,37650235-0538-1,1997079254,EVT-HC-HAND-300,318.1,928.0,606.72,3.18,609.9,65.72,0.0,NOT_PROVEN
2026-07-23,56648191-0141-2,3733452761,EVT-SET-4PC-ACNE,1299.05,2841.0,1528.96,12.99,1541.95,54.27,0.0,NOT_PROVEN
2026-07-23,74873204-0154-1,3892518031,EVT-HC-CHERRY-300,435.07,1275.0,835.58,4.35,839.93,65.88,0.0,NOT_PROVEN
2026-07-24,40648009-0543-2,3733452761,EVT-SET-4PC-ACNE,1727.62,3900.0,2155.1,17.28,2172.38,55.7,0.0,NOT_PROVEN
2026-07-25,0141467301-0288-4,3530427102,EVT-FT-ACNE-150,520.0,1109.0,583.8,5.2,589.0,53.11,0.0,NOT_PROVEN
2026-07-26,45076539-1500-1,3892518031,EVT-HC-CHERRY-300,420.0,1101.0,676.8,4.2,681.0,61.85,0.0,NOT_PROVEN
2026-07-26,24811115-0131-1,1994674912,EVT-FS-ACNE-30,457.14,838.0,376.29,4.57,380.86,45.45,-0.0,NOT_PROVEN
2026-07-27,45366572-0290-1,3733947454,EVT-SET-ACNE-POWDER-SERUM-CREAM,1143.67,2216.0,1072.33,0.0,1072.33,48.39,0.0,NOT_PROVEN
2026-07-27,0111425998-0187-1,2974977988,EVT-FC-ACNE-50,529.02,1297.0,767.98,0.0,767.98,59.21,0.0,NOT_PROVEN
2026-07-28,19380458-0073-1,1997079254,EVT-HC-HAND-300,330.48,861.0,530.52,0.0,530.52,61.62,0.0,NOT_PROVEN
2026-07-28,35975313-2379-1,3892518031,EVT-HC-CHERRY-300,1.0,1101.0,665.04,434.96,1100.0,99.91,0.0,NOT_PROVEN
2026-07-28,47847213-0182-2,3733452761,EVT-SET-4PC-ACNE,1786.67,4101.0,2296.46,17.87,2314.33,56.43,0.0,NOT_PROVEN
2026-07-29,59369293-0082-1,3892518031,EVT-HC-CHERRY-300,394.29,1101.0,702.77,3.94,706.71,64.19,0.0,NOT_PROVEN
2026-07-30,87896916-0043-1,3530427102,EVT-FT-ACNE-150,652.71,1640.0,987.29,0.0,987.29,60.2,0.0,NOT_PROVEN
2026-07-30,71657300-1177-1,3892518031,EVT-HC-CHERRY-300,422.45,1101.0,674.33,4.22,678.55,61.63,0.0,NOT_PROVEN
2026-07-30,61986072-0385-3,1991772098,EVT-FS-MOIST-30,449.41,1280.0,826.1,4.49,830.59,64.89,0.0,NOT_PROVEN
2026-07-30,80694950-0266-1,3892518031,EVT-HC-CHERRY-300,398.98,1093.0,690.03,3.99,694.02,63.5,0.0,NOT_PROVEN
2026-07-31,0123272455-0150-1,3543342130,EVT-EP-ENZYME-75,436.73,1132.0,690.9,4.37,695.27,61.42,0.0,NOT_PROVEN
2026-07-31,65089096-0111-9,3892518031,EVT-HC-CHERRY-300,386.67,1101.0,710.46,3.87,714.33,64.88,0.0,NOT_PROVEN
2026-07-31,0200868862-0038-1,3530427102,EVT-FT-ACNE-150,420.55,1128.0,703.24,4.21,707.45,62.72,0.0,NOT_PROVEN
2026-07-31,51078388-0251-1,1991772098,EVT-FS-MOIST-30,327.79,959.0,627.93,3.28,631.21,65.82,0.0,NOT_PROVEN
2026-08-01,0105883992-0276-1,2974977988,EVT-FC-ACNE-50,472.64,1297.0,819.63,4.73,824.36,63.56,0.0,NOT_PROVEN
2026-08-01,0105883992-0275-1,3530427102,EVT-FT-ACNE-150,413.21,1128.0,710.66,4.13,714.79,63.37,0.0,NOT_PROVEN
2026-08-01,0120358253-0671-1,3530427102,EVT-FT-ACNE-150,374.29,1000.0,621.97,3.74,625.71,62.57,0.0,NOT_PROVEN
2026-08-01,11031669-1332-2,1991772098,EVT-FS-MOIST-30,328.57,959.0,627.14,3.29,630.43,65.74,0.0,NOT_PROVEN
2026-08-01,41512917-1756-1,3892223191,EVT-SET-CHERRY-AMBER,62.08,1203.0,1140.3,0.62,1140.92,94.84,0.0,NOT_PROVEN
2026-08-02,47943143-1596-1,1997079254,EVT-HC-HAND-300,308.28,900.0,588.64,3.08,591.72,65.75,0.0,NOT_PROVEN
2026-08-03,73572762-0103-1,1997079254,EVT-HC-HAND-300,308.57,900.0,588.34,3.09,591.43,65.71,-0.0,NOT_PROVEN
2026-08-04,49815229-0188-1,1994674912,EVT-FS-ACNE-30,287.62,838.0,547.5,2.88,550.38,65.68,0.0,NOT_PROVEN
2026-08-04,0173384289-0379-1,1997079254,EVT-HC-HAND-300,308.57,900.0,588.34,3.09,591.43,65.71,-0.0,NOT_PROVEN
2026-08-04,86919179-0120-2,1991772098,EVT-FS-MOIST-30,439.05,1280.0,836.56,4.39,840.95,65.7,0.0,NOT_PROVEN
