created_date,posting_number,order_id,order_number,status,substatus,ozon_sku,offer_id,internal_sku,quantity,price,old_price,total_discount_value,commission_amount,payout,is_cancelled,cancel_reason_id,source_raw_file
2026-06-26,33029284-0309-1,37020947332,33029284-0309,cancelled,posting_canceled,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,1669.0,5362.98,3693.98,,0.0,yes,504,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-26,0107302388-0044-1,36941813572,0107302388-0044,delivered,posting_received,3530427102,535581675,EVT-FT-ACNE-150,1,818.0,2743.87,1925.87,,482.62,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-27,61540042-0453-1,36521251738,61540042-0453,delivered,posting_received,3528293526,535581674,EVT-FT-MOIST-150,1,872.0,2825.67,1953.67,,514.48,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-27,46846601-0863-1,37196384745,46846601-0863,delivered,posting_received,3892410843,930334396,EVT-SET-HAND-AMBER,1,1261.0,3953.92,2692.92,,743.99,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-27,95680674-0026-1,37001856306,95680674-0026,cancelled,posting_canceled,3733452761,868597351,EVT-SET-4PC-ACNE,1,2654.0,8277.52,5623.5199999999995,,0.0,yes,79,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-28,80979825-0257-1,35984131905,80979825-0257,delivered,posting_received,3528293526,535581674,EVT-FT-MOIST-150,1,872.0,2788.52,1916.52,,514.48,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-30,0112076306-0058-1,36521741554,0112076306-0058,delivered,posting_received,3530427102,535581675,EVT-FT-ACNE-150,1,832.0,2843.83,2011.83,,490.88,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-30,95668107-0106-3,36736961931,95668107-0106,delivered,posting_received,3892223191,930334397,EVT-SET-CHERRY-AMBER,1,1563.0,4726.1900000000005,3163.1900000000005,,922.17,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-30,31782514-0215-5,37371885746,31782514-0215,delivered,posting_received,3892345516,930334395,EVT-SET-HAND-CHERRY,1,1416.0,4201.34,2785.34,,835.44,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-07-01,0103612839-0407-13,36806370423,0103612839-0407,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,2831.0,8559.48,5728.4800000000005,,1670.29,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-01,0151252173-0059-1,37316633277,0151252173-0059,delivered,posting_received,3733947454,909951444,EVT-SET-ACNE-POWDER-SERUM-CREAM,1,2162.0,6798.36,4636.36,,0.0,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-02,0105883992-0261-1,36785132392,0105883992-0261,delivered,posting_received,3530427102,535581675,EVT-FT-ACNE-150,1,967.0,3082.7000000000003,2115.7000000000003,,570.53,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-02,89909016-0082-1,36717161816,89909016-0082,delivered,posting_received,3892410843,930334396,EVT-SET-HAND-AMBER,1,1420.0,4409.870000000001,2989.8700000000003,,837.8,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-02,55282989-0036-1,37144203373,55282989-0036,cancelled,posting_canceled,3528293526,535581674,EVT-FT-MOIST-150,1,975.0,3142.29,2167.29,,0.0,yes,79,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-03,64690053-1227-1,37921726021,64690053-1227,delivered,posting_received,3528293526,535581674,EVT-FT-MOIST-150,1,975.0,3159.82,2184.82,,575.25,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-03,46200146-0961-5,37755995458,46200146-0961,delivered,posting_received,3528293526,535581674,EVT-FT-MOIST-150,1,1161.0,3671.77,2510.77,,684.99,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-03,0146583073-0455-1,37572603617,0146583073-0455,delivered,posting_received,3892345516,930334395,EVT-SET-HAND-CHERRY,1,1416.0,4378.38,2962.38,,835.44,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-03,31268801-0056-1,36109838129,31268801-0056,delivered,posting_received,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,1,1823.0,6377.3099999999995,4554.3099999999995,,1075.57,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-04,52528457-0193-5,36517061353,52528457-0193,delivered,posting_received,3930712640,593111985,EVT-HC-AMBER-300,1,1230.0,3840.79,2610.79,,725.7,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-04,0179497417-0075-3,37354552505,0179497417-0075,delivered,posting_received,3892345516,930334395,EVT-SET-HAND-CHERRY,1,1416.0,4345.57,2929.57,,835.44,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-05,0259045069-0011-1,36550785837,0259045069-0011,delivered,posting_received,3530427102,535581675,EVT-FT-ACNE-150,1,1148.0,3603.8100000000004,2455.8100000000004,,677.32,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-05,70703101-0467-5,36814236141,70703101-0467,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,2923.0,9157.58,6234.58,,1724.57,no,,raw/backfill_v1/seller/posting_fbo_202607.json
