date,period_label,internal_sku,ozon_sku,seller_revenue,quantity,actual_commission_ratio,cogs_unit,cogs_total,marketplace_commission,logistics,other_marketplace_cost,cpc_spend,search_promo_spend,first_review_promo_spend,other_confirmed_marketing_cost,total_marketing_cost_confirmed,ref_product_cogs_unproven,profit_before_marketing,profit_after_confirmed_marketing,margin_before_marketing_pct,margin_after_confirmed_marketing_pct,drr_cpc_pct,drr_total_marketing_pct,cogs_status
2026-06-05,A_commission_41,EVT-SET-HAND-CHERRY,3892345516,0.0,0,NOT_AVAILABLE,412.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-05,A_commission_41,EVT-SET-HAND-AMBER,3892410843,0.0,0,NOT_AVAILABLE,412.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-05,A_commission_41,EVT-HC-CHERRY-300,3892518031,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,3.06,NOT_APPLICABLE,0.0,0,3.06,NOT_PROVEN,0.0,-3.06,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-05,A_commission_41,EVT-HC-AMBER-300,3930712640,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-HC-HAND-300,1997079254,530.0,1,0.41,240.0,240.0,217.3,89.06,0.0,30.22,NOT_APPLICABLE,0.0,0,30.22,NOT_PROVEN,-16.36,-46.58,-3.09,-8.79,5.7,5.7,OK
2026-06-06,A_commission_41,EVT-FT-MOIST-150,3528293526,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,101.01,NOT_APPLICABLE,0.0,0,101.01,NOT_PROVEN,0.0,-101.01,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-FT-ACNE-150,3530427102,1460.0,2,0.41,182.0,364.0,598.6,149.91,0.0,33.27,NOT_APPLICABLE,0.0,0,33.27,NOT_PROVEN,347.49,314.22,23.8,21.52,2.28,2.28,OK
2026-06-06,A_commission_41,EVT-SET-SER-CREAM-ACNE,3732641694,1120.0,1,0.41,310.0,310.0,459.2,95.0,0.0,36.06,NOT_APPLICABLE,0.0,0,36.06,NOT_PROVEN,255.8,219.74,22.84,19.62,3.22,3.22,OK
2026-06-06,A_commission_41,EVT-SET-4PC-ACNE,3733452761,0.0,0,NOT_AVAILABLE,651.0,0.0,0.0,0.0,0.0,27.16,NOT_APPLICABLE,0.0,0,27.16,NOT_PROVEN,0.0,-27.16,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,0.0,0,NOT_AVAILABLE,469.0,0.0,0.0,0.0,0.0,46.6,NOT_APPLICABLE,0.0,0,46.6,NOT_PROVEN,0.0,-46.6,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-SET-TON-SER-CREAM-ACNE,3735674506,0.0,0,NOT_AVAILABLE,492.0,0.0,0.0,0.0,0.0,40.42,NOT_APPLICABLE,0.0,0,40.42,NOT_PROVEN,0.0,-40.42,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-SET-CHERRY-AMBER,3892223191,0.0,0,NOT_AVAILABLE,344.0,0.0,0.0,0.0,0.0,5.75,NOT_APPLICABLE,0.0,0,5.75,NOT_PROVEN,0.0,-5.75,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-SET-HAND-CHERRY,3892345516,0.0,0,NOT_AVAILABLE,412.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-SET-HAND-AMBER,3892410843,0.0,0,NOT_AVAILABLE,412.0,0.0,0.0,0.0,0.0,7.7,NOT_APPLICABLE,0.0,0,7.7,NOT_PROVEN,0.0,-7.7,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-HC-CHERRY-300,3892518031,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,35.78,NOT_APPLICABLE,0.0,0,35.78,NOT_PROVEN,0.0,-35.78,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-06,A_commission_41,EVT-HC-AMBER-300,3930712640,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,9.99,NOT_APPLICABLE,0.0,0,9.99,NOT_PROVEN,0.0,-9.99,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-HC-HAND-300,1997079254,0.0,0,NOT_AVAILABLE,240.0,0.0,0.0,0.0,0.0,37.57,NOT_APPLICABLE,0.0,0,37.57,NOT_PROVEN,0.0,-37.57,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-FT-MOIST-150,3528293526,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,61.54,NOT_APPLICABLE,0.0,0,61.54,NOT_PROVEN,0.0,-61.54,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-FT-ACNE-150,3530427102,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,23.03,NOT_APPLICABLE,0.0,0,23.03,NOT_PROVEN,0.0,-23.03,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-SET-SER-CREAM-ACNE,3732641694,0.0,0,NOT_AVAILABLE,310.0,0.0,0.0,0.0,0.0,63.87,NOT_APPLICABLE,0.0,0,63.87,NOT_PROVEN,0.0,-63.87,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-SET-4PC-ACNE,3733452761,0.0,0,NOT_AVAILABLE,651.0,0.0,0.0,0.0,0.0,54.04,NOT_APPLICABLE,0.0,0,54.04,NOT_PROVEN,0.0,-54.04,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,0.0,0,NOT_AVAILABLE,469.0,0.0,0.0,0.0,0.0,50.26,NOT_APPLICABLE,0.0,0,50.26,NOT_PROVEN,0.0,-50.26,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-SET-TON-SER-CREAM-ACNE,3735674506,0.0,0,NOT_AVAILABLE,492.0,0.0,0.0,0.0,0.0,69.13,NOT_APPLICABLE,0.0,0,69.13,NOT_PROVEN,0.0,-69.13,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-SET-CHERRY-AMBER,3892223191,0.0,0,NOT_AVAILABLE,344.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-SET-HAND-CHERRY,3892345516,0.0,0,NOT_AVAILABLE,412.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-SET-HAND-AMBER,3892410843,0.0,0,NOT_AVAILABLE,412.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-HC-CHERRY-300,3892518031,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,46.86,NOT_APPLICABLE,0.0,0,46.86,NOT_PROVEN,0.0,-46.86,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-07,A_commission_41,EVT-HC-AMBER-300,3930712640,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,42.4,NOT_APPLICABLE,0.0,0,42.4,NOT_PROVEN,0.0,-42.4,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-08,A_commission_41,EVT-HC-HAND-300,1997079254,1086.0,2,0.41,240.0,480.0,445.26,188.05,0.0,28.31,NOT_APPLICABLE,0.0,0,28.31,NOT_PROVEN,-27.31,-55.62,-2.51,-5.12,2.61,2.61,OK
2026-06-08,A_commission_41,EVT-FT-MOIST-150,3528293526,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,28.47,NOT_APPLICABLE,0.0,0,28.47,NOT_PROVEN,0.0,-28.47,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
