date,campaign_id,campaign_group,campaign_state_current,expense_rub,bonus_expense_rub,subscription_expense_rub,impressions,clicks,orders,revenue,ctr,cpc,drr_api_if_present,source_raw_file
2026-06-14,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,115,0,0,0.0,0.0,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-14,27251978,EVETIS_CPC_LEGACY,ARCHIVED,79.83,0.0,0.0,539,21,1,1000.0,3.8961,3.8014,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260614.csv
2026-06-14,27307535,EVETIS_CPC_LEGACY,ARCHIVED,119.88,0.0,0.0,802,14,0,0.0,1.7456,8.5629,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260614.csv
2026-06-14,27307598,EVETIS_CPC_LEGACY,ARCHIVED,26.05,0.0,0.0,197,7,0,0.0,3.5533,3.7214,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260614.csv
2026-06-14,27443733,EVETIS_CPC_LEGACY,ARCHIVED,158.27,0.0,0.0,1165,27,1,3221.0,2.3176,5.8619,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260614.csv
2026-06-15,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,126,2,0,0.0,1.5873,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-15,27251978,EVETIS_CPC_LEGACY,ARCHIVED,53.92,0.0,0.0,465,13,0,0.0,2.7957,4.1477,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260615.csv
2026-06-15,27307535,EVETIS_CPC_LEGACY,ARCHIVED,104.25,0.0,0.0,633,12,0,0.0,1.8957,8.6875,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260615.csv
2026-06-15,27307598,EVETIS_CPC_LEGACY,ARCHIVED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,125,0,0,0.0,0.0,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-15,27443733,EVETIS_CPC_LEGACY,ARCHIVED,137.19,0.0,0.0,848,25,0,0.0,2.9481,5.4876,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260615.csv
2026-06-16,14503166,SEARCH_PROMO,RUNNING,105.0,0.0,0.0,89,2,1,1050.0,2.2472,52.5,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260616.csv
2026-06-16,27251978,EVETIS_CPC_LEGACY,ARCHIVED,40.89,0.0,0.0,514,10,0,0.0,1.9455,4.089,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260616.csv
2026-06-16,27307535,EVETIS_CPC_LEGACY,ARCHIVED,78.71,0.0,0.0,556,10,0,0.0,1.7986,7.871,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260616.csv
2026-06-16,27307598,EVETIS_CPC_LEGACY,ARCHIVED,3.18,0.0,0.0,140,1,0,0.0,0.7143,3.18,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260616.csv
2026-06-16,27443733,EVETIS_CPC_LEGACY,ARCHIVED,108.79,0.0,0.0,1212,20,2,3480.0,1.6502,5.4395,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260616.csv
2026-06-17,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,85,4,0,0.0,4.7059,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-17,27251978,EVETIS_CPC_LEGACY,ARCHIVED,41.05,0.0,0.0,406,9,0,0.0,2.2167,4.5611,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260617.csv
2026-06-17,27307535,EVETIS_CPC_LEGACY,ARCHIVED,97.75,0.0,0.0,475,11,1,530.0,2.3158,8.8864,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260617.csv
2026-06-17,27307598,EVETIS_CPC_LEGACY,ARCHIVED,28.02,0.0,0.0,205,6,0,0.0,2.9268,4.67,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260617.csv
2026-06-17,27443733,EVETIS_CPC_LEGACY,ARCHIVED,161.71,0.0,0.0,1229,27,0,0.0,2.1969,5.9893,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260617.csv
2026-06-18,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,34,1,0,0.0,2.9412,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-18,27251978,EVETIS_CPC_LEGACY,ARCHIVED,25.52,0.0,0.0,311,6,0,0.0,1.9293,4.2533,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260618.csv
